
 Analyzing pow( x, -10. )
=========================================================================================

 Test succeed, no points rejected with ulp > 4
=========================================================================================
y = 1.000e-02 math_pow took: 365.985, 14.908
y = 1.100e-01 math_pow took: 337.345, 15.344
y = 2.100e-01 math_pow took: 311.299, 13.480
y = 3.100e-01 math_pow took: 326.665, 25.122
y = 4.100e-01 math_pow took: 339.819, 14.228
y = 5.100e-01 math_pow took: 323.216, 10.263
y = 6.100e-01 math_pow took: 375.048, 14.269
y = 7.100e-01 math_pow took: 303.592, 15.980
y = 8.100e-01 math_pow took: 320.576, 16.289
y = 9.100e-01 math_pow took: 303.164, 11.215
y = 1.010e+00 math_pow took: 351.356, 11.345
y = 1.110e+00 math_pow took: 336.775, 26.631
y = 1.210e+00 math_pow took: 327.165, 11.383
y = 1.310e+00 math_pow took: 332.112, 22.776
y = 1.410e+00 math_pow took: 311.370, 24.205
y = 1.510e+00 math_pow took: 275.500, 13.511
y = 1.610e+00 math_pow took: 264.819, 19.741
y = 1.710e+00 math_pow took: 255.875, 21.223
y = 1.810e+00 math_pow took: 243.007, 25.630
y = 1.910e+00 math_pow took: 234.063, 17.193
y = 2.010e+00 math_pow took: 225.928, 13.244
y = 2.110e+00 math_pow took: 222.669, 12.886
y = 2.210e+00 math_pow took: 214.153, 11.290
y = 2.310e+00 math_pow took: 219.363, 24.607
y = 2.410e+00 math_pow took: 201.047, 17.510
y = 2.510e+00 math_pow took: 204.924, 10.883
y = 2.610e+00 math_pow took: 217.745, 14.915
y = 2.710e+00 math_pow took: 203.021, 9.269
y = 2.810e+00 math_pow took: 189.653, 9.383
y = 2.910e+00 math_pow took: 186.560, 8.582
y = 3.010e+00 math_pow took: 180.328, 5.506
y = 3.110e+00 math_pow took: 229.401, 24.586
y = 3.210e+00 math_pow took: 283.896, 24.433
y = 3.310e+00 math_pow took: 280.162, 23.047
y = 3.410e+00 math_pow took: 241.389, 23.579
y = 3.510e+00 math_pow took: 280.709, 22.854
y = 3.610e+00 math_pow took: 239.510, 25.926
y = 3.710e+00 math_pow took: 283.801, 22.786
y = 3.810e+00 math_pow took: 287.298, 20.884
y = 3.910e+00 math_pow took: 262.441, 30.841
y = 4.010e+00 math_pow took: 252.831, 32.935
y = 4.110e+00 math_pow took: 157.160, 27.483
y = 4.210e+00 math_pow took: 254.876, 23.480
y = 4.310e+00 math_pow took: 257.422, 19.500
y = 4.410e+00 math_pow took: 243.245, 20.019
y = 4.510e+00 math_pow took: 249.833, 20.812
y = 4.610e+00 math_pow took: 301.760, 27.559
y = 4.710e+00 math_pow took: 304.591, 21.679
y = 4.810e+00 math_pow took: 306.351, 21.547
y = 4.910e+00 math_pow took: 241.984, 18.301
y = 5.010e+00 math_pow took: 235.894, 20.558
y = 5.110e+00 math_pow took: 251.951, 21.234
y = 5.210e+00 math_pow took: 237.512, 18.116
y = 5.310e+00 math_pow took: 230.756, 20.348
y = 5.410e+00 math_pow took: 229.591, 19.005
y = 5.510e+00 math_pow took: 229.995, 18.743
y = 5.610e+00 math_pow took: 248.026, 18.477
y = 5.710e+00 math_pow took: 251.070, 18.382
y = 5.810e+00 math_pow took: 227.498, 23.211
